[12:02:27] [Model]: Loading erfan226/persian-t5-paraphraser...                                    3900279738.py:115
                                                                                                                   
[12:02:35] [Data]: Reading data...                                                                3900279738.py:126
                                                                                                                   
FULL Dataset: (1488792, 2)
TRAIN Dataset: (1487303, 2)
TEST Dataset: (1489, 2)

[12:02:36] [Initiating Fine Tuning]...                                                            3900279738.py:175
 
                               Training Status                               
+---------------------------------------------------------------------------+
|Epoch | Steps |                            Loss                            |
|  0   |  310  | tensor(3.5049, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  320  | tensor(3.4509, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  330  | tensor(3.3449, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  340  | tensor(3.3591, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  350  | tensor(3.4438, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  360  | tensor(3.5067, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  370  | tensor(3.5169, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  380  | tensor(3.2606, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  390  | tensor(3.2365, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  400  | tensor(3.1689, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  410  | tensor(3.4571, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  420  | tensor(3.5415, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  430  | tensor(3.4535, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  440  | tensor(3.3587, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  450  | tensor(3.6339, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  460  | tensor(3.7342, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  470  | tensor(3.4248, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  480  | tensor(3.2705, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  490  | tensor(3.2111, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  500  | tensor(3.3782, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  510  | tensor(3.2924, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  520  | tensor(3.5161, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  530  | tensor(3.2842, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  540  | tensor(3.0163, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  550  | tensor(3.1667, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  560  | tensor(3.2342, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  570  | tensor(3.2800, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  580  | tensor(3.4888, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  590  | tensor(3.4030, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  600  | tensor(3.0566, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  610  | tensor(3.1650, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  620  | tensor(3.3545, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  630  | tensor(3.0849, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  640  | tensor(3.2144, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  650  | tensor(3.3009, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  660  | tensor(3.4570, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  670  | tensor(3.4740, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  680  | tensor(3.2627, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  690  | tensor(3.4109, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  700  | tensor(3.2200, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  710  | tensor(3.2522, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  720  | tensor(3.3442, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  730  | tensor(3.3071, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  740  | tensor(3.4537, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  750  | tensor(3.2029, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  760  | tensor(3.4297, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  770  | tensor(3.3443, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  780  | tensor(3.3619, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  790  | tensor(3.3645, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  800  | tensor(3.4223, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  810  | tensor(3.4441, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  820  | tensor(3.0890, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  830  | tensor(3.3228, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  840  | tensor(3.1892, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  850  | tensor(3.2618, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  860  | tensor(3.4208, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  870  | tensor(3.4263, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  880  | tensor(3.0878, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  890  | tensor(3.3094, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  900  | tensor(3.3004, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  910  | tensor(3.5242, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  920  | tensor(3.3556, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  930  | tensor(3.2094, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  940  | tensor(3.2360, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  950  | tensor(3.1602, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  960  | tensor(2.9344, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  970  | tensor(3.0910, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  980  | tensor(3.3052, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  990  | tensor(3.3421, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1000  | tensor(3.4087, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1010  | tensor(3.1945, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1020  | tensor(3.2058, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1030  | tensor(3.4148, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1040  | tensor(3.2943, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1050  | tensor(3.2431, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1060  | tensor(3.1447, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1070  | tensor(3.1036, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1080  | tensor(3.4181, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1090  | tensor(3.2985, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1100  | tensor(3.3935, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1110  | tensor(3.1710, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1120  | tensor(3.3362, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1130  | tensor(3.3769, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1140  | tensor(3.1190, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1150  | tensor(3.2184, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1160  | tensor(3.1788, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1170  | tensor(3.2437, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1180  | tensor(3.2485, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1190  | tensor(3.3158, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1200  | tensor(3.1568, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1210  | tensor(3.2321, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1220  | tensor(3.2172, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1230  | tensor(3.3508, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1240  | tensor(3.1997, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1250  | tensor(3.3242, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1260  | tensor(3.3089, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1270  | tensor(3.1705, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1280  | tensor(3.4145, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1290  | tensor(3.1428, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1300  | tensor(3.1106, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1310  | tensor(3.2254, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1320  | tensor(3.2480, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1330  | tensor(3.2057, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1340  | tensor(3.2283, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1350  | tensor(2.9816, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1360  | tensor(3.1595, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1370  | tensor(3.3477, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1380  | tensor(3.1997, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1390  | tensor(3.2087, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1400  | tensor(3.1440, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1410  | tensor(3.3865, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1420  | tensor(2.9918, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1430  | tensor(3.1000, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1440  | tensor(3.3021, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1450  | tensor(3.3167, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1460  | tensor(3.1986, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1470  | tensor(3.1319, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1480  | tensor(3.1134, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1490  | tensor(3.1718, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1500  | tensor(3.3812, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1510  | tensor(3.2162, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1520  | tensor(3.2865, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1530  | tensor(3.2299, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1540  | tensor(3.1432, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1550  | tensor(3.1892, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1560  | tensor(3.1955, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1570  | tensor(3.2709, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1580  | tensor(3.0935, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1590  | tensor(3.2037, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1600  | tensor(3.2920, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1610  | tensor(3.0216, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1620  | tensor(3.2044, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1630  | tensor(2.9097, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1640  | tensor(3.1462, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1650  | tensor(3.0936, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1660  | tensor(3.1281, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1670  | tensor(3.2335, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1680  | tensor(3.1724, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1690  | tensor(3.1970, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1700  | tensor(3.1454, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1710  | tensor(3.0325, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1720  | tensor(3.3256, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1730  | tensor(3.1054, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1740  | tensor(3.0515, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1750  | tensor(3.2827, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1760  | tensor(3.1392, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1770  | tensor(3.0077, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1780  | tensor(3.0506, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1790  | tensor(3.3141, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1800  | tensor(3.0201, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1810  | tensor(3.0177, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1820  | tensor(3.2485, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1830  | tensor(3.2018, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1840  | tensor(3.2039, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1850  | tensor(3.1042, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1860  | tensor(3.2139, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1870  | tensor(3.1215, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1880  | tensor(3.0365, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1890  | tensor(2.9458, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1900  | tensor(3.3157, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1910  | tensor(3.1405, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1920  | tensor(3.0314, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1930  | tensor(3.0807, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1940  | tensor(3.2122, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1950  | tensor(3.0395, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1960  | tensor(3.0274, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1970  | tensor(2.9973, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1980  | tensor(3.1958, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 1990  | tensor(2.9952, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2000  | tensor(3.3286, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2010  | tensor(2.9576, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2020  | tensor(3.1377, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2030  | tensor(3.1932, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2040  | tensor(3.2036, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2050  | tensor(3.1090, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2060  | tensor(3.1219, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2070  | tensor(3.2956, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2080  | tensor(3.2950, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2090  | tensor(3.0580, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2100  | tensor(3.0648, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2110  | tensor(3.1899, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2120  | tensor(2.8156, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2130  | tensor(2.9898, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2140  | tensor(3.1801, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2150  | tensor(2.9237, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2160  | tensor(3.3158, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2170  | tensor(3.0402, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2180  | tensor(2.9767, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2190  | tensor(3.1623, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2200  | tensor(2.9297, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2210  | tensor(3.0397, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2220  | tensor(3.3837, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2230  | tensor(3.0565, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2240  | tensor(2.8770, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2250  | tensor(3.0605, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2260  | tensor(3.1455, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2270  | tensor(3.0552, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2280  | tensor(3.0411, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2290  | tensor(3.1979, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2300  | tensor(2.9121, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2310  | tensor(3.2408, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2320  | tensor(3.2252, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2330  | tensor(3.1580, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2340  | tensor(3.2479, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2350  | tensor(3.0139, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2360  | tensor(2.8981, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2370  | tensor(3.0750, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2380  | tensor(3.1309, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2390  | tensor(3.1428, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2400  | tensor(3.1436, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2410  | tensor(3.1741, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2420  | tensor(3.3052, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2430  | tensor(3.0345, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2440  | tensor(3.0516, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2450  | tensor(3.2005, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2460  | tensor(3.0426, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2470  | tensor(3.1768, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2480  | tensor(3.0434, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2490  | tensor(2.9804, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2500  | tensor(3.1698, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2510  | tensor(3.0475, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2520  | tensor(3.1698, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2530  | tensor(3.1670, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2540  | tensor(3.2200, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2550  | tensor(3.0849, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2560  | tensor(3.1526, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2570  | tensor(3.0440, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2580  | tensor(3.1543, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2590  | tensor(3.0315, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2600  | tensor(3.1120, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2610  | tensor(3.2161, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2620  | tensor(3.0837, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2630  | tensor(3.0444, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2640  | tensor(2.9144, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2650  | tensor(3.2314, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2660  | tensor(3.1522, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2670  | tensor(3.0770, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2680  | tensor(2.9490, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2690  | tensor(3.2453, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2700  | tensor(3.1390, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2710  | tensor(3.0405, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2720  | tensor(3.0250, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2730  | tensor(3.0439, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2740  | tensor(3.0892, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2750  | tensor(2.9753, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2760  | tensor(3.0817, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2770  | tensor(3.0191, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2780  | tensor(2.9895, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2790  | tensor(3.1452, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2800  | tensor(3.0789, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2810  | tensor(2.8361, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2820  | tensor(3.2843, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2830  | tensor(2.9581, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2840  | tensor(3.2611, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2850  | tensor(3.1043, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2860  | tensor(3.0755, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2870  | tensor(3.4653, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2880  | tensor(3.1484, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2890  | tensor(3.1404, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2900  | tensor(3.1448, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2910  | tensor(3.0640, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2920  | tensor(3.0546, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2930  | tensor(2.8800, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2940  | tensor(3.1498, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   | 2950  | tensor(3.1172, device='cuda:0', grad_fn=<NllLossBackward0>)|
